input_url,status,filepath,title,uploader,id,duration,webpage_url,error
https://www.tiktok.com/@thehappydaycoshirt/video/7454980798383410462,ok,Downloaded_Audio/thehappydaycoshirt_7454980798383410462.mp3,Let’s countdown for Onyx storm? D-21 📚 #fourthwing #theempyreanseries...,thehappydaycoshirt,7454980798383410462,16,https://www.tiktok.com/@thehappydaycoshirt/video/7454980798383410462,
https://www.tiktok.com/@thehappydaycoshirt/video/7454626994198826270,ok,Downloaded_Audio/thehappydaycoshirt_7454626994198826270.mp3,It’s the best gift for Fourth Wing fan. Tairn and Andarna version 📖📚 ...,thehappydaycoshirt,7454626994198826270,19,https://www.tiktok.com/@thehappydaycoshirt/video/7454626994198826270,
https://www.tiktok.com/@thehappydaycoshirt/video/7454240146523802910,ok,Downloaded_Audio/thehappydaycoshirt_7454240146523802910.mp3,Fantasy reader 📖📚 #fourthwing #theempyreanseries #onyx #ironflame #on...,thehappydaycoshirt,7454240146523802910,17,https://www.tiktok.com/@thehappydaycoshirt/video/7454240146523802910,
https://www.tiktok.com/@thehappydaycoshirt/video/7453892957289139486,ok,Downloaded_Audio/thehappydaycoshirt_7453892957289139486.mp3,It’s a need for Fourth Wing Onyx Strom fan 🫶🏻📖📚 #fourthwing #theempyr...,thehappydaycoshirt,7453892957289139486,16,https://www.tiktok.com/@thehappydaycoshirt/video/7453892957289139486,
https://www.tiktok.com/@thehappydaycoshirt/video/7453104865775062303,ok,Downloaded_Audio/thehappydaycoshirt_7453104865775062303.mp3,"If you know their names, you are a fan of The Empyrean Series. If not...",thehappydaycoshirt,7453104865775062303,21,https://www.tiktok.com/@thehappydaycoshirt/video/7453104865775062303,
https://www.tiktok.com/@thehappydaycoshirt/video/7452905785878678815,ok,Downloaded_Audio/thehappydaycoshirt_7452905785878678815.mp3,Let’s countdown to the D-Day ☺️ #fourthwing #onyx #onyxstorm #bookish...,thehappydaycoshirt,7452905785878678815,21,https://www.tiktok.com/@thehappydaycoshirt/video/7452905785878678815,
https://www.tiktok.com/@thehappydaycoshirt/video/7452745039404436766,ok,Downloaded_Audio/thehappydaycoshirt_7452745039404436766.mp3,He gave me the cutest Valentine’s gift 💕🎀 #mom #momsoftiktok #pregnan...,thehappydaycoshirt,7452745039404436766,16,https://www.tiktok.com/@thehappydaycoshirt/video/7452745039404436766,
https://www.tiktok.com/@thehappydaycoshirt/video/7452027881275837727,ok,Downloaded_Audio/thehappydaycoshirt_7452027881275837727.mp3,Got too silly #sillygoose #silly #goose #funnymemes ,thehappydaycoshirt,7452027881275837727,18,https://www.tiktok.com/@thehappydaycoshirt/video/7452027881275837727,
https://www.tiktok.com/@thehappydaycoshirt/video/7451646837066386718,ok,Downloaded_Audio/thehappydaycoshirt_7451646837066386718.mp3,Wear a new sweater and read a new book 📖📚🫶🏻 #fourthwing #bookish #boo...,thehappydaycoshirt,7451646837066386718,18,https://www.tiktok.com/@thehappydaycoshirt/video/7451646837066386718,
https://www.tiktok.com/@thehappydaycoshirt/video/7450886021434084639,ok,Downloaded_Audio/thehappydaycoshirt_7450886021434084639.mp3,Calling SJM fan 🫶🏻📖📚 #bookish #booktok #bookworm #fantasyromance #fan...,thehappydaycoshirt,7450886021434084639,21,https://www.tiktok.com/@thehappydaycoshirt/video/7450886021434084639,
https://www.tiktok.com/@thehappydaycoshirt/video/7450496322408287518,error,,,,,,,[0;31mERROR:[0m unable to download video data: HTTP Error 403: Forbidden
